HE InChI=1S/He
NC8OOH6-4 InChI=1S/C8H17O2/c1-3-5-6-7-8(4-2)10-9/h6,8-9H,3-5,7H2,1-2H3
NC8OOH3-5O2 InChI=1S/C8H17O4/c1-3-5-8(12-10)6-7(4-2)11-9/h7-9H,3-6H2,1-2H3
NC8OOH6-3 InChI=1S/C8H17O2/c1-3-5-6-7-8(4-2)10-9/h5,8-9H,3-4,6-7H2,1-2H3
NC8OOH3-6O2 InChI=1S/C8H17O4/c1-3-7(11-9)5-6-8(4-2)12-10/h7-9H,3-6H2,1-2H3
NC8OOH6-2 InChI=1S/C8H17O2/c1-3-5-6-7-8(4-2)10-9/h3,8-9H,4-7H2,1-2H3
NC8OOH3-7O2 InChI=1S/C8H17O4/c1-3-8(12-10)6-4-5-7(2)11-9/h7-8,10H,3-6H2,1-2H3
NC8OOH4-1 InChI=1S/C8H17O2/c1-3-5-7-8(10-9)6-4-2/h8-9H,2-7H2,1H3
NC8OOH4-1O2 InChI=1S/C8H17O4/c1-2-3-5-8(12-10)6-4-7-11-9/h8,10H,2-7H2,1H3
NC8OOH4-2 InChI=1S/C8H17O2/c1-3-5-7-8(10-9)6-4-2/h4,8-9H,3,5-7H2,1-2H3
NC8OOH4-2O2 InChI=1S/C8H17O4/c1-3-4-5-8(12-10)6-7(2)11-9/h7-8,10H,3-6H2,1-2H3
NC8OOH4-3 InChI=1S/C8H17O2/c1-3-5-7-8(10-9)6-4-2/h6,8-9H,3-5,7H2,1-2H3
NC8OOH4-3O2 InChI=1S/C8H17O4/c1-3-5-6-8(12-10)7(4-2)11-9/h7-8,10H,3-6H2,1-2H3
NC8OOH5-4 InChI=1S/C8H17O2/c1-3-5-7-8(10-9)6-4-2/h7-9H,3-6H2,1-2H3
NC8OOH4-5O2 InChI=1S/C8H17O4/c1-3-5-7(11-9)8(12-10)6-4-2/h7-9H,3-6H2,1-2H3
NC8OOH5-3 InChI=1S/C8H17O2/c1-3-5-7-8(10-9)6-4-2/h5,8-9H,3-4,6-7H2,1-2H3
NC8OOH4-6O2 InChI=1S/C8H17O4/c1-3-5-8(12-10)6-7(4-2)11-9/h7-8,10H,3-6H2,1-2H3
NC8OOH5-2 InChI=1S/C8H17O2/c1-3-5-7-8(10-9)6-4-2/h3,8-9H,4-7H2,1-2H3
NC8OOH4-7O2 InChI=1S/C8H17O4/c1-3-4-8(12-10)6-5-7(2)11-9/h7-8,10H,3-6H2,1-2H3
NC8OOH5-1 InChI=1S/C8H17O2/c1-3-5-7-8(10-9)6-4-2/h8-9H,1,3-7H2,2H3
NC8OOH4-8O2 InChI=1S/C8H17O4/c1-2-5-8(12-10)6-3-4-7-11-9/h8,10H,2-7H2,1H3
NC8Q12-3 InChI=1S/C8H17O4/c1-2-3-4-5-6-8(12-10)7-11-9/h6,8-10H,2-5,7H2,1H3
NC8Q12-4 InChI=1S/C8H17O4/c1-2-3-4-5-6-8(12-10)7-11-9/h5,8-10H,2-4,6-7H2,1H3
NC8Q78-4 InChI=1S/C8H17O4/c1-2-3-4-5-6-8(12-10)7-11-9/h4,8-10H,2-3,5-7H2,1H3
NC8Q78-3 InChI=1S/C8H17O4/c1-2-3-4-5-6-8(12-10)7-11-9/h3,8-10H,2,4-7H2,1H3
NC8Q13-2 InChI=1S/C8H17O4/c1-2-3-4-5-8(12-10)6-7-11-9/h6,8-10H,2-5,7H2,1H3
NC8Q13-4 InChI=1S/C8H17O4/c1-2-3-4-5-8(12-10)6-7-11-9/h5,8-10H,2-4,6-7H2,1H3
NC8Q68-4 InChI=1S/C8H17O4/c1-2-3-4-5-8(12-10)6-7-11-9/h4,8-10H,2-3,5-7H2,1H3
NC8Q68-3 InChI=1S/C8H17O4/c1-2-3-4-5-8(12-10)6-7-11-9/h3,8-10H,2,4-7H2,1H3
NC8Q68-2 InChI=1S/C8H17O4/c1-2-3-4-5-8(12-10)6-7-11-9/h2,8-10H,3-7H2,1H3
NC8Q14-3 InChI=1S/C8H17O4/c1-2-3-5-8(12-10)6-4-7-11-9/h6,8-10H,2-5,7H2,1H3
NC8Q58-4 InChI=1S/C8H17O4/c1-2-3-5-8(12-10)6-4-7-11-9/h5,8-10H,2-4,6-7H2,1H3
NC8Q14-2 InChI=1S/C8H17O4/c1-2-3-5-8(12-10)6-4-7-11-9/h4,8-10H,2-3,5-7H2,1H3
NC8Q58-3 InChI=1S/C8H17O4/c1-2-3-5-8(12-10)6-4-7-11-9/h3,8-10H,2,4-7H2,1H3
NC8Q58-2 InChI=1S/C8H17O4/c1-2-3-5-8(12-10)6-4-7-11-9/h2,8-10H,3-7H2,1H3
NC8Q58-1 InChI=1S/C8H17O4/c1-2-3-5-8(12-10)6-4-7-11-9/h8-10H,1-7H2
NC8Q15-4 InChI=1S/C8H17O4/c1-2-5-8(12-10)6-3-4-7-11-9/h6,8-10H,2-5,7H2,1H3
NC8Q48-3 InChI=1S/C8H17O4/c1-2-5-8(12-10)6-3-4-7-11-9/h5,8-10H,2-4,6-7H2,1H3
NC8Q15-3 InChI=1S/C8H17O4/c1-2-5-8(12-10)6-3-4-7-11-9/h3,8-10H,2,4-7H2,1H3
NC8Q48-2 InChI=1S/C8H17O4/c1-2-5-8(12-10)6-3-4-7-11-9/h2,8-10H,3-7H2,1H3
NC8Q15-2 InChI=1S/C8H17O4/c1-2-5-8(12-10)6-3-4-7-11-9/h4,8-10H,2-3,5-7H2,1H3
NC8Q48-1 InChI=1S/C8H17O4/c1-2-5-8(12-10)6-3-4-7-11-9/h8-10H,1-7H2
NC8Q23-4 InChI=1S/C8H17O4/c1-3-4-5-6-8(12-10)7(2)11-9/h6-10H,3-5H2,1-2H3
NC8Q23-1 InChI=1S/C8H17O4/c1-3-4-5-6-8(12-10)7(2)11-9/h7-10H,2-6H2,1H3
NC8Q67-4 InChI=1S/C8H17O4/c1-3-4-5-6-8(12-10)7(2)11-9/h5,7-10H,3-4,6H2,1-2H3
NC8Q67-3 InChI=1S/C8H17O4/c1-3-4-5-6-8(12-10)7(2)11-9/h4,7-10H,3,5-6H2,1-2H3
NC8Q67-2 InChI=1S/C8H17O4/c1-3-4-5-6-8(12-10)7(2)11-9/h3,7-10H,4-6H2,1-2H3
NC8Q24-3 InChI=1S/C8H17O4/c1-3-4-5-8(12-10)6-7(2)11-9/h6-10H,3-5H2,1-2H3
NC8Q57-4 InChI=1S/C8H17O4/c1-3-4-5-8(12-10)6-7(2)11-9/h5,7-10H,3-4,6H2,1-2H3
NC8Q57-3 InChI=1S/C8H17O4/c1-3-4-5-8(12-10)6-7(2)11-9/h4,7-10H,3,5-6H2,1-2H3
NC8Q24-1 InChI=1S/C8H17O4/c1-3-4-5-8(12-10)6-7(2)11-9/h7-10H,2-6H2,1H3
NC8Q57-2 InChI=1S/C8H17O4/c1-3-4-5-8(12-10)6-7(2)11-9/h3,7-10H,4-6H2,1-2H3
NC8Q57-1 InChI=1S/C8H17O4/c1-3-4-5-8(12-10)6-7(2)11-9/h7-10H,1,3-6H2,2H3
NC8Q25-4 InChI=1S/C8H17O4/c1-3-4-8(12-10)6-5-7(2)11-9/h6-10H,3-5H2,1-2H3
NC8Q47-3 InChI=1S/C8H17O4/c1-3-4-8(12-10)6-5-7(2)11-9/h4,7-10H,3,5-6H2,1-2H3
NC8Q25-3 InChI=1S/C8H17O4/c1-3-4-8(12-10)6-5-7(2)11-9/h5,7-10H,3-4,6H2,1-2H3
NC8Q47-2 InChI=1S/C8H17O4/c1-3-4-8(12-10)6-5-7(2)11-9/h3,7-10H,4-6H2,1-2H3
NC8Q47-1 InChI=1S/C8H17O4/c1-3-4-8(12-10)6-5-7(2)11-9/h7-10H,1,3-6H2,2H3
NC8Q25-1 InChI=1S/C8H17O4/c1-3-4-8(12-10)6-5-7(2)11-9/h7-10H,2-6H2,1H3
NC8Q37-4 InChI=1S/C8H17O4/c1-3-8(12-10)6-4-5-7(2)11-9/h6-10H,3-5H2,1-2H3
NC8Q37-2 InChI=1S/C8H17O4/c1-3-8(12-10)6-4-5-7(2)11-9/h3,7-10H,4-6H2,1-2H3
NC8Q26-4 InChI=1S/C8H17O4/c1-3-8(12-10)6-4-5-7(2)11-9/h4,7-10H,3,5-6H2,1-2H3
NC8Q37-1 InChI=1S/C8H17O4/c1-3-8(12-10)6-4-5-7(2)11-9/h7-10H,1,3-6H2,2H3
NC8Q26-3 InChI=1S/C8H17O4/c1-3-8(12-10)6-4-5-7(2)11-9/h5,7-10H,3-4,6H2,1-2H3
NC8Q56-4 InChI=1S/C8H17O4/c1-3-5-6-8(12-10)7(4-2)11-9/h6-10H,3-5H2,1-2H3
NC8Q34-2 InChI=1S/C8H17O4/c1-3-5-6-8(12-10)7(4-2)11-9/h4,7-10H,3,5-6H2,1-2H3
NC8Q56-3 InChI=1S/C8H17O4/c1-3-5-6-8(12-10)7(4-2)11-9/h5,7-10H,3-4,6H2,1-2H3
NC8Q34-1 InChI=1S/C8H17O4/c1-3-5-6-8(12-10)7(4-2)11-9/h7-10H,2-6H2,1H3
NC8Q56-2 InChI=1S/C8H17O4/c1-3-5-6-8(12-10)7(4-2)11-9/h3,7-10H,4-6H2,1-2H3
NC8Q56-1 InChI=1S/C8H17O4/c1-3-5-6-8(12-10)7(4-2)11-9/h7-10H,1,3-6H2,2H3
NC8Q35-4 InChI=1S/C8H17O4/c1-3-5-8(12-10)6-7(4-2)11-9/h6-10H,3-5H2,1-2H3
NC8Q46-3 InChI=1S/C8H17O4/c1-3-5-8(12-10)6-7(4-2)11-9/h5,7-10H,3-4,6H2,1-2H3
NC8Q46-2 InChI=1S/C8H17O4/c1-3-5-8(12-10)6-7(4-2)11-9/h3,7-10H,4-6H2,1-2H3
NC8Q35-2 InChI=1S/C8H17O4/c1-3-5-8(12-10)6-7(4-2)11-9/h4,7-10H,3,5-6H2,1-2H3
NC8Q46-1 InChI=1S/C8H17O4/c1-3-5-8(12-10)6-7(4-2)11-9/h7-10H,1,3-6H2,2H3
NC8Q35-1 InChI=1S/C8H17O4/c1-3-5-8(12-10)6-7(4-2)11-9/h7-10H,2-6H2,1H3
NC8Q36-4 InChI=1S/C8H17O4/c1-3-7(11-9)5-6-8(4-2)12-10/h5,7-10H,3-4,6H2,1-2H3
NC8Q36-2 InChI=1S/C8H17O4/c1-3-7(11-9)5-6-8(4-2)12-10/h3,7-10H,4-6H2,1-2H3
NC8Q36-1 InChI=1S/C8H17O4/c1-3-7(11-9)5-6-8(4-2)12-10/h7-10H,1,3-6H2,2H3
NC8Q26-1 InChI=1S/C8H17O4/c1-3-8(12-10)6-4-5-7(2)11-9/h7-10H,2-6H2,1H3
NC8Q45-3 InChI=1S/C8H17O4/c1-3-5-7(11-9)8(12-10)6-4-2/h5,7-10H,3-4,6H2,1-2H3
NC8Q45-2 InChI=1S/C8H17O4/c1-3-5-7(11-9)8(12-10)6-4-2/h3,7-10H,4-6H2,1-2H3
NC8Q45-1 InChI=1S/C8H17O4/c1-3-5-7(11-9)8(12-10)6-4-2/h7-10H,1,3-6H2,2H3
NC8D1 InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3
NC8D2 InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3,5H,4,6-8H2,1-2H3
C8H16-3 InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h5,7H,3-4,6,8H2,1-2H3
NC8D4 InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h7-8H,3-6H2,1-2H3
C2H4 InChI=1S/C2H4/c1-2/h1-2H2
C3H6 InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3
C7H14-1 InChI=1S/C7H14/c1-3-5-7-6-4-2/h3H,1,4-7H2,2H3
C4H8-1 InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3
C6H12-1 InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3
C5H10-1 InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3
CH2O InChI=1S/CH2O/c1-2/h1H2
CH3CHO InChI=1S/C2H4O/c1-2-3/h2H,1H3
NC5H11CHO InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3
C2H5CHO InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3
PC4H9CHO InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3
NC3H7CHO InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3
C2H4O2H InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2
C3H6OOH2-1 InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3
C4H8OOH2-1 InChI=1S/C4H9O2/c1-3-4(2)6-5/h4-5H,2-3H2,1H3
C6H12OOH2-1 InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h6-7H,2-5H2,1H3
C5H10OOH2-1 InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h5-6H,2-4H2,1H3
NC8O1-2 InChI=1S/C8H16O/c1-2-3-4-5-6-8-7-9-8/h8H,2-7H2,1H3
NC8O1-3 InChI=1S/C8H16O/c1-2-3-4-5-8-6-7-9-8/h8H,2-7H2,1H3
NC8O1-4 InChI=1S/C8H16O/c1-2-3-5-8-6-4-7-9-8/h8H,2-7H2,1H3
NC8O1-5 InChI=1S/C8H16O/c1-2-5-8-6-3-4-7-9-8/h8H,2-7H2,1H3
NC8O2-3 InChI=1S/C8H16O/c1-3-4-5-6-8-7(2)9-8/h7-8H,3-6H2,1-2H3
NC8O2-4 InChI=1S/C8H16O/c1-3-4-5-8-6-7(2)9-8/h7-8H,3-6H2,1-2H3
NC8O2-5 InChI=1S/C8H16O/c1-3-4-8-6-5-7(2)9-8/h7-8H,3-6H2,1-2H3
NC8O2-6 InChI=1S/C8H16O/c1-3-8-6-4-5-7(2)9-8/h7-8H,3-6H2,1-2H3
NC8O3-4 InChI=1S/C8H16O/c1-3-5-6-8-7(4-2)9-8/h7-8H,3-6H2,1-2H3
NC8O3-5 InChI=1S/C8H16O/c1-3-5-8-6-7(4-2)9-8/h7-8H,3-6H2,1-2H3
NC8O3-6 InChI=1S/C8H16O/c1-3-7-5-6-8(4-2)9-7/h7-8H,3-6H2,1-2H3
NC8O4-5 InChI=1S/C8H16O/c1-3-5-7-8(9-7)6-4-2/h7-8H,3-6H2,1-2H3
NC8O23-1OOH InChI=1S/C8H16O3/c1-2-3-4-5-7-8(11-7)6-10-9/h7-9H,2-6H2,1H3
NC8O24-1OOH InChI=1S/C8H16O3/c1-2-3-4-7-5-8(11-7)6-10-9/h7-9H,2-6H2,1H3
NC8O25-1OOH InChI=1S/C8H16O3/c1-2-3-7-4-5-8(11-7)6-10-9/h7-9H,2-6H2,1H3
NC8O26-1OOH InChI=1S/C8H16O3/c1-2-7-4-3-5-8(11-7)6-10-9/h7-9H,2-6H2,1H3
NC8O34-1OOH InChI=1S/C8H16O3/c1-2-3-4-7-8(11-7)5-6-10-9/h7-9H,2-6H2,1H3
NC8O35-1OOH InChI=1S/C8H16O3/c1-2-3-7-6-8(11-7)4-5-10-9/h7-9H,2-6H2,1H3
NC8O36-1OOH InChI=1S/C8H16O3/c1-2-7-3-4-8(11-7)5-6-10-9/h7-9H,2-6H2,1H3
NC8O37-1OOH InChI=1S/C8H16O3/c1-7-3-2-4-8(11-7)5-6-10-9/h7-9H,2-6H2,1H3
NC8O45-1OOH InChI=1S/C8H16O3/c1-2-4-7-8(11-7)5-3-6-10-9/h7-9H,2-6H2,1H3
NC8O46-1OOH InChI=1S/C8H16O3/c1-2-7-6-8(11-7)4-3-5-10-9/h7-9H,2-6H2,1H3
NC8O47-1OOH InChI=1S/C8H16O3/c1-7-4-5-8(11-7)3-2-6-10-9/h7-9H,2-6H2,1H3
NC8O48-1OOH InChI=1S/C8H16O3/c9-11-7-3-5-8-4-1-2-6-10-8/h8-9H,1-7H2
NC8O34-8OOH InChI=1S/C8H16O3/c1-2-7-8(11-7)5-3-4-6-10-9/h7-9H,2-6H2,1H3
NC8O24-8OOH InChI=1S/C8H16O3/c1-7-6-8(11-7)4-2-3-5-10-9/h7-9H,2-6H2,1H3
NC8O14-8OOH InChI=1S/C8H16O3/c9-11-7-2-1-4-8-5-3-6-10-8/h8-9H,1-7H2
NC8O13-2OOH InChI=1S/C8H16O3/c1-2-3-4-5-7-8(11-9)6-10-7/h7-9H,2-6H2,1H3
NC8O14-2OOH InChI=1S/C8H16O3/c1-2-3-4-7-5-8(11-9)6-10-7/h7-9H,2-6H2,1H3
NC8O15-2OOH InChI=1S/C8H16O3/c1-2-3-7-4-5-8(11-9)6-10-7/h7-9H,2-6H2,1H3
NC8O34-2OOH InChI=1S/C8H16O3/c1-3-4-5-7-8(10-7)6(2)11-9/h6-9H,3-5H2,1-2H3
NC8O35-2OOH InChI=1S/C8H16O3/c1-3-4-7-5-8(10-7)6(2)11-9/h6-9H,3-5H2,1-2H3
NC8O36-2OOH InChI=1S/C8H16O3/c1-3-7-4-5-8(10-7)6(2)11-9/h6-9H,3-5H2,1-2H3
NC8O37-2OOH InChI=1S/C8H16O3/c1-6-4-3-5-8(10-6)7(2)11-9/h6-9H,3-5H2,1-2H3
NC8O45-2OOH InChI=1S/C8H16O3/c1-3-4-7-8(10-7)5-6(2)11-9/h6-9H,3-5H2,1-2H3
NC8O46-2OOH InChI=1S/C8H16O3/c1-3-7-5-8(10-7)4-6(2)11-9/h6-9H,3-5H2,1-2H3
NC8O47-2OOH InChI=1S/C8H16O3/c1-6-3-4-8(10-6)5-7(2)11-9/h6-9H,3-5H2,1-2H3
NC8O48-2OOH InChI=1S/C8H16O3/c1-7(11-9)6-8-4-2-3-5-10-8/h7-9H,2-6H2,1H3
NC8O34-7OOH InChI=1S/C8H16O3/c1-3-7-8(10-7)5-4-6(2)11-9/h6-9H,3-5H2,1-2H3
NC8O24-7OOH InChI=1S/C8H16O3/c1-6(11-9)3-4-8-5-7(2)10-8/h6-9H,3-5H2,1-2H3
NC8O14-7OOH InChI=1S/C8H16O3/c1-7(11-9)4-5-8-3-2-6-10-8/h7-9H,2-6H2,1H3
NC8O23-7OOH InChI=1S/C8H16O3/c1-6(11-9)4-3-5-8-7(2)10-8/h6-9H,3-5H2,1-2H3
NC8O13-7OOH InChI=1S/C8H16O3/c1-7(11-9)3-2-4-8-5-6-10-8/h7-9H,2-6H2,1H3
NC8O12-3OOH InChI=1S/C8H16O3/c1-2-3-4-5-7(11-9)8-6-10-8/h7-9H,2-6H2,1H3
NC8O14-3OOH InChI=1S/C8H16O3/c1-2-3-4-7-8(11-9)5-6-10-7/h7-9H,2-6H2,1H3
NC8O15-3OOH InChI=1S/C8H16O3/c1-2-3-7-6-8(11-9)4-5-10-7/h7-9H,2-6H2,1H3
NC8O24-3OOH InChI=1S/C8H16O3/c1-3-4-5-7-8(11-9)6(2)10-7/h6-9H,3-5H2,1-2H3
NC8O25-3OOH InChI=1S/C8H16O3/c1-3-4-7-5-8(11-9)6(2)10-7/h6-9H,3-5H2,1-2H3
NC8O26-3OOH InChI=1S/C8H16O3/c1-3-7-4-5-8(11-9)6(2)10-7/h6-9H,3-5H2,1-2H3
NC8O45-3OOH InChI=1S/C8H16O3/c1-3-5-7-8(10-7)6(4-2)11-9/h6-9H,3-5H2,1-2H3
NC8O46-3OOH InChI=1S/C8H16O3/c1-3-6-5-8(10-6)7(4-2)11-9/h6-9H,3-5H2,1-2H3
NC8O47-3OOH InChI=1S/C8H16O3/c1-3-7(11-9)8-5-4-6(2)10-8/h6-9H,3-5H2,1-2H3
NC8O48-3OOH InChI=1S/C8H16O3/c1-2-7(11-9)8-5-3-4-6-10-8/h7-9H,2-6H2,1H3
NC8O34-6OOH InChI=1S/C8H16O3/c1-3-6(11-9)5-8-7(4-2)10-8/h6-9H,3-5H2,1-2H3
NC8O24-6OOH InChI=1S/C8H16O3/c1-3-7(11-9)5-8-4-6(2)10-8/h6-9H,3-5H2,1-2H3
NC8O14-6OOH InChI=1S/C8H16O3/c1-2-7(11-9)6-8-4-3-5-10-8/h7-9H,2-6H2,1H3
NC8O23-6OOH InChI=1S/C8H16O3/c1-3-7(11-9)4-5-8-6(2)10-8/h6-9H,3-5H2,1-2H3
NC8O13-6OOH InChI=1S/C8H16O3/c1-2-7(11-9)3-4-8-5-6-10-8/h7-9H,2-6H2,1H3
NC8O12-6OOH InChI=1S/C8H16O3/c1-2-7(11-9)4-3-5-8-6-10-8/h7-9H,2-6H2,1H3
NC8O12-4OOH InChI=1S/C8H16O3/c1-2-3-4-7(11-9)5-8-6-10-8/h7-9H,2-6H2,1H3
NC8O13-4OOH InChI=1S/C8H16O3/c1-2-3-4-8(11-9)7-5-6-10-7/h7-9H,2-6H2,1H3
NC8O15-4OOH InChI=1S/C8H16O3/c1-2-4-7-8(11-9)5-3-6-10-7/h7-9H,2-6H2,1H3
NC8O23-4OOH InChI=1S/C8H16O3/c1-3-4-5-7(11-9)8-6(2)10-8/h6-9H,3-5H2,1-2H3
NC8O25-4OOH InChI=1S/C8H16O3/c1-3-4-7-8(11-9)5-6(2)10-7/h6-9H,3-5H2,1-2H3
NC8O26-4OOH InChI=1S/C8H16O3/c1-3-7-5-8(11-9)4-6(2)10-7/h6-9H,3-5H2,1-2H3
NC8O35-4OOH InChI=1S/C8H16O3/c1-3-5-7-8(11-9)6(4-2)10-7/h6-9H,3-5H2,1-2H3
NC8O36-4OOH InChI=1S/C8H16O3/c1-3-6-5-8(11-9)7(4-2)10-6/h6-9H,3-5H2,1-2H3
NC8O37-4OOH InChI=1S/C8H16O3/c1-3-7-8(11-9)5-4-6(2)10-7/h6-9H,3-5H2,1-2H3
NC8O34-5OOH InChI=1S/C8H16O3/c1-3-5-7(11-9)8-6(4-2)10-8/h6-9H,3-5H2,1-2H3
NC8O24-5OOH InChI=1S/C8H16O3/c1-3-4-7(11-9)8-5-6(2)10-8/h6-9H,3-5H2,1-2H3
NC8O14-5OOH InChI=1S/C8H16O3/c1-2-4-8(11-9)7-5-3-6-10-7/h7-9H,2-6H2,1H3
NC8O23-5OOH InChI=1S/C8H16O3/c1-3-4-7(11-9)5-8-6(2)10-8/h6-9H,3-5H2,1-2H3
NC8O13-5OOH InChI=1S/C8H16O3/c1-2-3-8(11-9)6-7-4-5-10-7/h7-9H,2-6H2,1H3
NC8O12-5OOH InChI=1S/C8H16O3/c1-2-3-7(11-9)4-5-8-6-10-8/h7-9H,2-6H2,1H3
NC8D2-1OOH InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8-10-9/h6-7,9H,2-5,8H2,1H3
NC8D3-1OOH InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8-10-9/h5-6,9H,2-4,7-8H2,1H3
NC8D4-1OOH InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8-10-9/h4-5,9H,2-3,6-8H2,1H3
NC8D3-8OOH InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8-10-9/h3-4,9H,2,5-8H2,1H3
NC8D3-2OOH InChI=1S/C8H16O2/c1-3-4-5-6-7-8(2)10-9/h6-9H,3-5H2,1-2H3
NC8D4-2OOH InChI=1S/C8H16O2/c1-3-4-5-6-7-8(2)10-9/h5-6,8-9H,3-4,7H2,1-2H3
NC8D3-7OOH InChI=1S/C8H16O2/c1-3-4-5-6-7-8(2)10-9/h4-5,8-9H,3,6-7H2,1-2H3
NC8D2-7OOH InChI=1S/C8H16O2/c1-3-4-5-6-7-8(2)10-9/h3-4,8-9H,5-7H2,1-2H3
NC8D1-3OOH InChI=1S/C8H16O2/c1-3-5-6-7-8(4-2)10-9/h4,8-9H,2-3,5-7H2,1H3
NC8D4-3OOH InChI=1S/C8H16O2/c1-3-5-6-7-8(4-2)10-9/h6-9H,3-5H2,1-2H3
NC8D3-6OOH InChI=1S/C8H16O2/c1-3-5-6-7-8(4-2)10-9/h5-6,8-9H,3-4,7H2,1-2H3
NC8D2-6OOH InChI=1S/C8H16O2/c1-3-5-6-7-8(4-2)10-9/h3,5,8-9H,4,6-7H2,1-2H3
NC8D1-6OOH InChI=1S/C8H16O2/c1-3-5-6-7-8(4-2)10-9/h3,8-9H,1,4-7H2,2H3
NC8D1-4OOH InChI=1S/C8H16O2/c1-3-5-7-8(10-9)6-4-2/h4,8-9H,2-3,5-7H2,1H3
C8H152-4OOH InChI=1S/C8H16O2/c1-3-5-7-8(10-9)6-4-2/h4,6,8-9H,3,5,7H2,1-2H3
C8H153-5OOH InChI=1S/C8H16O2/c1-3-5-7-8(10-9)6-4-2/h5,7-9H,3-4,6H2,1-2H3
NC8D2-5OOH InChI=1S/C8H16O2/c1-3-5-7-8(10-9)6-4-2/h3,5,8-9H,4,6-7H2,1-2H3
NC8D1-5OOH InChI=1S/C8H16O2/c1-3-5-7-8(10-9)6-4-2/h3,8-9H,1,4-7H2,2H3
HO2CH2CHO InChI=1S/C2H4O3/c3-1-2-5-4/h1,4H,2H2
C3KET13 InChI=1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2
AC3H5OOH InChI=1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2
NC4KET14 InChI=1S/C4H8O3/c5-3-1-2-4-7-6/h3,6H,1-2,4H2
C4H71-4OOH InChI=1S/C4H8O2/c1-2-3-4-6-5/h2,5H,1,3-4H2
NC5KET15 InChI=1S/C5H10O3/c6-4-2-1-3-5-8-7/h4,7H,1-3,5H2
C3KET12 InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3
NC4KET13 InChI=1S/C4H8O3/c1-4(7-6)2-3-5/h3-4,6H,2H2,1H3
C4H71-3OOH InChI=1S/C4H8O2/c1-3-4(2)6-5/h3-5H,1H2,2H3
NC5KET14 InChI=1S/C5H10O3/c1-5(8-7)3-2-4-6/h4-5,7H,2-3H2,1H3
C5H91-4OOH InChI=1S/C5H10O2/c1-3-4-5(2)7-6/h3,5-6H,1,4H2,2H3
C6KET15 InChI=1S/C6H12O3/c1-6(9-8)4-2-3-5-7/h5-6,8H,2-4H2,1H3
NC4KET12 InChI=1S/C4H8O3/c1-2-4(3-5)7-6/h3-4,6H,2H2,1H3
NC5KET13 InChI=1S/C5H10O3/c1-2-5(8-7)3-4-6/h4-5,7H,2-3H2,1H3
C5H91-3OOH InChI=1S/C5H10O2/c1-3-5(4-2)7-6/h3,5-6H,1,4H2,2H3
C6KET14 InChI=1S/C6H12O3/c1-2-6(9-8)4-3-5-7/h5-6,8H,2-4H2,1H3
C6H11-1D4OOH InChI=1S/C6H12O2/c1-3-5-6(4-2)8-7/h3,6-7H,1,4-5H2,2H3
C7H13-1D3OOH InChI=1S/C7H14O2/c1-3-5-6-7(4-2)9-8/h4,7-8H,2-3,5-6H2,1H3
C6KET12 InChI=1S/C6H12O3/c1-2-3-4-6(5-7)9-8/h5-6,8H,2-4H2,1H3
NC5KET12 InChI=1S/C5H10O3/c1-2-3-5(4-6)8-7/h4-5,7H,2-3H2,1H3
C6KET13 InChI=1S/C6H12O3/c1-2-3-6(9-8)4-5-7/h5-6,8H,2-4H2,1H3
C6H11-1D3OOH InChI=1S/C6H12O2/c1-3-5-6(4-2)8-7/h4,6-7H,2-3,5H2,1H3
C7H13-1D4OOH InChI=1S/C7H14O2/c1-3-5-7(9-8)6-4-2/h3,7-8H,1,4-6H2,2H3
C3H51-2,3OOH InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2
C4H71-2,4OOH InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h4-6H,1-3H2
C5H91-2,5OOH InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h5-7H,1-4H2
C6H11Q15-6 InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h6-8H,1-5H2
